Stride (B),Time (ns),Number of threads,Sequential?,Stride Size
0,3.86249,8,N,64
64,30.2806,8,N,64
128,49.9742,8,N,64
192,69.0523,8,N,64
256,66.1824,8,N,64
320,74.4654,8,N,64
384,71.5364,8,N,64
448,78.1243,8,N,64
512,81.1328,8,N,64
576,82.2513,8,N,64
640,81.3819,8,N,64
704,86.7421,8,N,64
768,84.9227,8,N,64
832,88.5578,8,N,64
896,87.0276,8,N,64
960,92.7654,8,N,64
1024,109.081,8,N,64
