Size (B),Time (ns),Number of threads,Sequential?,Stride Size
64,2.48011,1,N,1
128,2.53472,1,N,1
256,2.52024,1,N,1
512,2.63795,1,N,1
1024,2.66714,1,N,1
2048,2.64031,1,N,1
4096,2.47194,1,N,1
8192,2.53256,1,N,1
16384,2.53761,1,N,1
32768,2.72867,1,N,1
65536,3.6743,1,N,1
131072,4.16443,1,N,1
262144,4.64375,1,N,1
524288,8.93705,1,N,1
1048576,10.6676,1,N,1
2097152,11.697,1,N,1
4194304,12.3857,1,N,1
8388608,23.8923,1,N,1
16777216,53.9424,1,N,1
33554432,70.0325,1,N,1
