Stride (B),Time (ns),Number of threads,Sequential?,Stride Size
0,4.98784,1,N,64
64,8.74506,1,N,64
128,18.7512,1,N,64
192,31.9676,1,N,64
256,34.2976,1,N,64
320,34.9322,1,N,64
384,35.4153,1,N,64
448,40.3808,1,N,64
512,37.3633,1,N,64
576,43.146,1,N,64
640,39.0765,1,N,64
704,39.5882,1,N,64
768,39.3399,1,N,64
832,41.0776,1,N,64
896,47.1479,1,N,64
960,45.0941,1,N,64
1024,45.2229,1,N,64
