Size (B),Time (ns),Number of threads,Sequential?,Stride Size
64,2.12971,2,N,1
128,2.1232,2,N,1
256,2.26607,2,N,1
512,2.16574,2,N,1
1024,2.11843,2,N,1
2048,2.13349,2,N,1
4096,2.13033,2,N,1
8192,2.13842,2,N,1
16384,2.133,2,N,1
32768,2.27123,2,N,1
65536,3.80897,2,N,1
131072,4.12479,2,N,1
262144,4.42017,2,N,1
524288,9.24774,2,N,1
1048576,11.6677,2,N,1
2097152,12.7975,2,N,1
4194304,21.5948,2,N,1
8388608,46.4919,2,N,1
16777216,61.6031,2,N,1
33554432,70.6804,2,N,1
