Stride (B),Time (ns),Number of threads,Sequential?,Stride Size
0,14.5548,16,N,64
64,154.099,16,N,64
128,182.735,16,N,64
192,226.166,16,N,64
256,211.708,16,N,64
320,228.261,16,N,64
384,202.336,16,N,64
448,223.725,16,N,64
512,219.904,16,N,64
576,256.412,16,N,64
640,220.715,16,N,64
704,245.591,16,N,64
768,242.925,16,N,64
832,261.388,16,N,64
896,239.612,16,N,64
960,251.169,16,N,64
1024,275.842,16,N,64
