Size (B),Time (ns),Number of threads,Sequential?,Stride Size
64,3.78543,8,N,1
128,3.886,8,N,1
256,4.0167,8,N,1
512,3.86493,8,N,1
1024,3.85322,8,N,1
2048,3.89921,8,N,1
4096,3.8309,8,N,1
8192,3.84748,8,N,1
16384,3.91026,8,N,1
32768,4.93187,8,N,1
65536,5.41106,8,N,1
131072,6.34989,8,N,1
262144,10.1626,8,N,1
524288,13.5093,8,N,1
1048576,19.4854,8,N,1
2097152,55.5431,8,N,1
4194304,77.8348,8,N,1
8388608,90.4246,8,N,1
16777216,97.0292,8,N,1
33554432,100.657,8,N,1
