Size (B),Time (ns),Number of threads,Sequential?,Stride Size
64,3.56258,1,N,1
128,3.55424,1,N,1
256,3.50502,1,N,1
512,3.52191,1,N,1
1024,3.54677,1,N,1
2048,3.54723,1,N,1
4096,3.59332,1,N,1
8192,3.55589,1,N,1
16384,3.58497,1,N,1
32768,3.61139,1,N,1
65536,4.63927,1,N,1
131072,5.22623,1,N,1
262144,5.58069,1,N,1
524288,9.97482,1,N,1
1048576,12.1873,1,N,1
2097152,13.3813,1,N,1
4194304,13.798,1,N,1
8388608,25.1383,1,N,1
16777216,57.3876,1,N,1
33554432,74.9856,1,N,1
