Size (B),Time (ns),Number of threads,Sequential?,Stride Size
64,3.51832,2,N,1
128,3.67414,2,N,1
256,3.62826,2,N,1
512,3.50617,2,N,1
1024,3.50279,2,N,1
2048,3.6309,2,N,1
4096,3.62172,2,N,1
8192,3.65476,2,N,1
16384,3.65468,2,N,1
32768,3.72463,2,N,1
65536,4.70144,2,N,1
131072,5.15232,2,N,1
262144,5.53499,2,N,1
524288,10.8303,2,N,1
1048576,12.2476,2,N,1
2097152,13.3933,2,N,1
4194304,21.5821,2,N,1
8388608,24.1552,2,N,1
16777216,68.9583,2,N,1
33554432,78.6795,2,N,1
