Stride (B),Time (ns),Number of threads,Sequential?,Stride Size
0,2.11792,1,N,64
64,4.92991,1,N,64
128,12.7585,1,N,64
192,26.4501,1,N,64
256,26.9883,1,N,64
320,29.3077,1,N,64
384,29.8602,1,N,64
448,33.613,1,N,64
512,32.1898,1,N,64
576,36.0816,1,N,64
640,34.6968,1,N,64
704,36.6861,1,N,64
768,35.8849,1,N,64
832,37.1638,1,N,64
896,41.5339,1,N,64
960,43.7378,1,N,64
1024,41.0227,1,N,64
