Stride (B),Time (ns),Number of threads,Sequential?,Stride Size
0,3.50531,2,N,64
64,16.718,2,N,64
128,26.2459,2,N,64
192,45.6568,2,N,64
256,45.0796,2,N,64
320,50.251,2,N,64
384,47.2777,2,N,64
448,50.8683,2,N,64
512,48.1695,2,N,64
576,51.4866,2,N,64
640,48.9091,2,N,64
704,51.5577,2,N,64
768,49.35,2,N,64
832,53.364,2,N,64
896,51.4766,2,N,64
960,53.751,2,N,64
1024,53.4107,2,N,64
