Stride (B),Time (ns),Number of threads,Sequential?,Stride Size
0,2.72521,4,N,64
64,14.6177,4,N,64
128,28.6578,4,N,64
192,43.8287,4,N,64
256,44.2961,4,N,64
320,49.1384,4,N,64
384,47.5521,4,N,64
448,52.1387,4,N,64
512,52.8473,4,N,64
576,54.0256,4,N,64
640,51.5183,4,N,64
704,56.324,4,N,64
768,54.2453,4,N,64
832,57.3977,4,N,64
896,55.9317,4,N,64
960,59.2029,4,N,64
1024,65.6118,4,N,64
