Stride (B),Time (ns),Number of threads,Sequential?,Stride Size
0,5.15929,4,N,64
64,36.3286,4,N,64
128,50.0788,4,N,64
192,67.7236,4,N,64
256,66.7616,4,N,64
320,72.6451,4,N,64
384,69.9469,4,N,64
448,75.4975,4,N,64
512,74.3989,4,N,64
576,77.4282,4,N,64
640,73.7822,4,N,64
704,79.3303,4,N,64
768,75.4584,4,N,64
832,81.1254,4,N,64
896,77.1367,4,N,64
960,81.6876,4,N,64
1024,85.1054,4,N,64
