Size (B),Time (ns),Number of threads,Sequential?,Stride Size
64,14.0631,16,N,1
128,14.0471,16,N,1
256,12.9832,16,N,1
512,13.1385,16,N,1
1024,12.5394,16,N,1
2048,12.8978,16,N,1
4096,13.0714,16,N,1
8192,12.6245,16,N,1
16384,11.7768,16,N,1
32768,14.9406,16,N,1
65536,15.6904,16,N,1
131072,20.2474,16,N,1
262144,29.1256,16,N,1
524288,37.36,16,N,1
1048576,55.216,16,N,1
2097152,137.664,16,N,1
4194304,212.758,16,N,1
8388608,244.344,16,N,1
16777216,262.987,16,N,1
33554432,325.024,16,N,1
