Stride (B),Time (ns),Number of threads,Sequential?,Stride Size
0,2.99221,2,N,64
64,7.09894,2,N,64
128,16.3922,2,N,64
192,30.1096,2,N,64
256,30.1216,2,N,64
320,33.318,2,N,64
384,33.075,2,N,64
448,35.2212,2,N,64
512,37.0382,2,N,64
576,37.5656,2,N,64
640,38.1762,2,N,64
704,40.7731,2,N,64
768,39.3727,2,N,64
832,41.3779,2,N,64
896,42.1757,2,N,64
960,45.0013,2,N,64
1024,46.8286,2,N,64
