Stride (B),Time (ns),Number of threads,Sequential?,Stride Size
0,7.66957,16,N,64
64,57.4499,16,N,64
128,89.908,16,N,64
192,133.151,16,N,64
256,113.736,16,N,64
320,148.036,16,N,64
384,128.31,16,N,64
448,147.049,16,N,64
512,155.043,16,N,64
576,164.332,16,N,64
640,153.433,16,N,64
704,173.509,16,N,64
768,160.52,16,N,64
832,176.672,16,N,64
896,164.382,16,N,64
960,185.282,16,N,64
1024,211.649,16,N,64
