Size (B),Time (ns),Number of threads,Sequential?,Stride Size
64,7.00261,8,N,1
128,7.10169,8,N,1
256,7.32721,8,N,1
512,6.9797,8,N,1
1024,7.01328,8,N,1
2048,7.02745,8,N,1
4096,7.01229,8,N,1
8192,7.01256,8,N,1
16384,6.9932,8,N,1
32768,8.37896,8,N,1
65536,9.26579,8,N,1
131072,11.5995,8,N,1
262144,15.8788,8,N,1
524288,18.7396,8,N,1
1048576,28.0536,8,N,1
2097152,87.1874,8,N,1
4194304,124.297,8,N,1
8388608,144.931,8,N,1
16777216,156.258,8,N,1
33554432,161.563,8,N,1
