Size (B),Time (ns),Number of threads,Sequential?,Stride Size
64,3.44641,4,N,1
128,3.35244,4,N,1
256,3.90845,4,N,1
512,3.27042,4,N,1
1024,3.5706,4,N,1
2048,3.49839,4,N,1
4096,3.24578,4,N,1
8192,3.10954,4,N,1
16384,3.12802,4,N,1
32768,3.33123,4,N,1
65536,4.52895,4,N,1
131072,5.26654,4,N,1
262144,5.75082,4,N,1
524288,12.0552,4,N,1
1048576,14.6193,4,N,1
2097152,23.5078,4,N,1
4194304,37.801,4,N,1
8388608,68.8392,4,N,1
16777216,76.6092,4,N,1
33554432,82.6158,4,N,1
