Size (B),Time (ns),Number of threads,Sequential?,Stride Size
64,7.83609,16,N,1
128,7.45718,16,N,1
256,7.46507,16,N,1
512,6.81698,16,N,1
1024,6.99544,16,N,1
2048,6.67162,16,N,1
4096,7.09674,16,N,1
8192,6.85136,16,N,1
16384,7.26035,16,N,1
32768,8.86018,16,N,1
65536,10.5914,16,N,1
131072,13.7092,16,N,1
262144,21.0625,16,N,1
524288,25.6462,16,N,1
1048576,40.9439,16,N,1
2097152,106.329,16,N,1
4194304,140.341,16,N,1
8388608,178.856,16,N,1
16777216,192.905,16,N,1
33554432,179.563,16,N,1
